template,type,kr_url
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/ATTI_01-1_e4523865-b612-48b0-8816-cfdaddff6936.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/ATTI_01-2_61adcc06-efb2-442e-b937-1191c50bce0c.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/ATTI_01-3_35dd0a16-bb0d-4b93-adf5-f87f9cc373fc.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/ATTI_01_-1_6a5bab8c-acc6-412d-bc27-0c8a9240cd40.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/ATTI_02-0.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/ATTI_02-1-0.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/ATTI_02-2_430e7d59-ddcc-4e90-bb43-904af1ea4507.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/ATTI_03-0.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/ATTI_03-1_565bcdf8-c06e-456a-9272-9daf0f83e048.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/ATTI_03-2_7866facf-6c5d-4a3b-9211-55e128ac996b.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/ATTI_1_1__01_736565b3-2f5d-472e-8fd9-e4e1da3be442.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/ATTI_1_1__02_b7d2f317-ed98-47bc-994b-2f62b5e56ef8.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/ATTI_1_1__03_4efc68cc-882d-4268-844d-d038092b09ed.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/ATTI_1_1__04_fc2fe51c-76cc-487e-90e8-5d86168e594d.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/ATTI_Head_chair.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/ATTI_Head_chair_M_b4955b76-21ee-475e-9d7d-02bb72a64a69.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/K301F_01_b43c9431-a7f2-4f8d-b3dc-53112c6ff56c.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/K301F_02_830f7c8c-60c3-448e-8314-472177b2be41.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/WARRANTY_5.jpg
atti-chair,image,https://kr.sidiz.com/cdn/shop/files/shop_pc.jpg
button,image,https://kr.sidiz.com/cdn/shop/files/BUTTON_01-2.jpg
button,image,https://kr.sidiz.com/cdn/shop/files/BUTTON_01-3.jpg
button,image,https://kr.sidiz.com/cdn/shop/files/BUTTON_01-4.jpg
button,image,https://kr.sidiz.com/cdn/shop/files/BUTTON_01.jpg
button,image,https://kr.sidiz.com/cdn/shop/files/BUTTON_Head.jpg
