handle,title_ko,krw_min,aud_final_min,aud_final_max,au_live_price,change_vs_live
gx-re-life,GX Re:LIFE,286000,299,299,,
t50-air-2-cover,T50 AIR 2세대 좌판 커버,35000,39,39,,
t50-air-2,T50 AIR 2세대,434000,499,499,729,-32%
t50-2,T50 2세대,419000,499,499,499,+0%
t90-re-life,T90 Re:LIFE,805000,899,1099,,
gx-헤드레스트,GX 헤드레스트,33000,39,39,,
gx-옷걸이,GX 옷걸이,14000,19,19,,
t50-hf-re-life,T50 HF Re:LIFE,209000,299,299,,
ible-아이블-re-life,아이블 Re:LIFE,139000,199,199,,
oui,OUI 위 아일랜드 식탁의자,159000,199,199,,
plit-cover,PLIT 플릿 좌판 커버,23000,29,29,,
plit,PLIT 플릿 식탁의자,105000,199,199,,
t50-hlda-re-life,T50 HLDA Re:LIFE,286000,299,299,,
t60-air-re-life,T60 AIR Re:LIFE,353000,399,399,,
t60-re-life,T60 Re:LIFE,342000,399,399,,
t60-lda,T60 LDA,439000,499,499,,
muuve,MUUVE 뮤브,189000,199,199,,
t80-re-life,T80 Re:LIFE,482000,499,699,,
t60-seat,T60 좌판,60000,69,69,,
t60-t60-air-armpad,T60&T60 AIR 팔걸이 패드,21000,29,29,,
t60-t60-air-headrest,T60&T60 AIR 헤드레스트,37000,39,39,,
t60-air-seat,T60 AIR 좌판,60000,69,69,,
gc-pro-게이밍-의자-re-life,GC PRO Re:LIFE 게이밍 의자,525000,599,699,,
t60-air-cover,T60 AIR 좌판 커버,35000,39,39,,
ringo-gen2,RINGO 링고 2세대,199000,299,299,359,-17%
ringo-2-footrest,링고 2세대 발받침,22000,29,29,,
t60-t60-air-hanger,T60&T60 AIR 옷걸이,16000,19,19,,
tottenham-t20,시디즈X토트넘 홋스퍼 T20,259000,299,299,,
t50-1-headrest,T50&T50 AIR 1세대 헤드레스트,33000,39,39,,
the-p-bag,더 프로그레시브 백,15000,19,19,,
multispray-infinity,멀티 스프레이 150ml - INFINITY,29000,39,39,,
ringo-2-seat,링고 2세대 좌판,37000,39,39,,
ringo-2-back,링고 2세대 등판,32000,39,39,,
t60-air,T60 AIR,429000,499,499,,
t60,T60,439000,499,499,,
pacbag2507q,시디즈 더 프로그레시브 백(벌크),300000,399,399,,
gx-work,GX,389000,399,399,,
t20-2-seat,T20 2세대 좌판,35000,39,59,,
mane,MANE 마네 식탁의자,70000,79,199,,
totteham-fungus,시디즈X토트넘 홋스퍼 펑거스,99000,199,199,,
tottenham-t20-armpad,시디즈X토트넘 홋스퍼 T20 팔걸이 패드,25000,29,29,,
sidiz_tottenham_olly,[한정 수량 소진]시디즈X토트넘 홋스퍼 올리,34900,39,39,,
pillo,PILLO 필로,99000,199,199,,
t50hda,T50 HDA,359000,399,399,,
ringo-2-cover,링고 2세대 등/좌판 패브릭 커버,31000,39,39,,
t50-1-adjustable-seat,T50 1세대 조절형 좌판,45000,49,49,,
t20,T20,239000,299,299,,
t50-1-fixed-armrest,T50&T50 AIR 1세대 팔걸이(고정형),20000,29,29,,
t50air-1-cover,T50 AIR 1세대 좌판 커버,32000,39,39,,
t50-air,T50 AIR,419000,499,499,,
t50hf,T50 HF,309000,399,399,,
t50,T50 HLDA 풀옵션,389000,399,399,499,-20%
sitbreak-caster-b,싯브레이크 바퀴 B형,25000,29,29,,
urethane-caster-b,우레탄 바퀴 B형,20000,29,29,,
sitbreak-caster-a,싯브레이크 바퀴 A형,35000,39,39,,
urethane-caster-a,우레탄 바퀴 A형,28000,29,29,,
trevo-seat,TREVO 트레보 좌판 쿠션 커버,29000,39,39,,
trevo,TREVO 트레보,145000,199,199,,
glide-b,글라이드 B형,17000,19,19,,
glide-a,글라이드 A형,17000,19,19,,
t50-1-hanger,T50&T50 AIR 1세대 옷걸이,11000,19,19,,
atti-desk,ATTI 아띠 책상,94000,99,99,,
atti-chair,ATTI 아띠 의자,73000,79,79,,
button,BUTTON 버튼,145000,199,299,,
t55-armpad,T55 팔걸이 패드,17000,19,19,,
atti-block,아띠 높이 연장 블록,14000,19,19,,
ringo-1-footrest,링고 1세대 발받침,20000,29,29,,
ringo-1-lever,링고 1세대 높이 조절 레버,10000,19,19,,
t20-1-armrest,T20 1세대 팔걸이,19000,29,29,,
t50-1-adjustable-armrest,T50&T50 AIR 1세대 팔걸이(조절형),28000,29,29,,
t80-armpad,T80 팔걸이 패드,22000,29,29,,
t80-seat,T80 좌판,60000,69,69,,
ringo-1-seat,링고 1세대 좌판,30000,39,39,,
ringo-1-back,링고 1세대 등판,20000,29,29,,
t20-1-headrest,T20 1세대 헤드레스트,24000,29,29,,
t80-headrest,T80 헤드레스트,35000,39,39,,
molti-chair-leg,몰티 책상의자용 다리,39000,49,49,,
molti-inner-seat,몰티 이너시트,99000,199,199,,
fungus,FUNGUS 펑거스,99000,199,199,,
stepo-footrest,STEPO 스테포,54000,59,79,,
molti,MOLTI 몰티,279000,299,499,,
ible,IBLE 아이블,189000,199,299,,
gx,GX 게이밍 의자,389000,399,399,,
gc-pro,GC PRO 게이밍 의자,710000,799,999,1599,-50%
t90,T90,1099000,1199,1499,,
ega,EGA 에가,189000,199,299,,
linie,LINIE 리니에,269000,299,299,,
t80,T80,649000,699,899,1029,-32%
