order,kr_filename,kr_url,bytes,role,has_korean_text,kr_text_content,en_filename,en_alt_text,en_text_content,action
1,thum_atti_A441P_00_0ac74bfd-1bea-4f2a-b59f-7478d3557e63.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_atti_A441P_00_0ac74bfd-1bea-4f2a-b59f-7478d3557e63.jpg,41115,gallery,,,,,,
2,thum_atti_A443S_00_fd2608e1-f375-4db1-b270-431020c618cd.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_atti_A443S_00_fd2608e1-f375-4db1-b270-431020c618cd.jpg,29394,gallery,,,,,,
3,thum_atti_A444D_00_ced609c8-8b2b-4252-80a5-4a0a0aff72a3.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_atti_A444D_00_ced609c8-8b2b-4252-80a5-4a0a0aff72a3.jpg,38348,gallery,,,,,,
4,ATTI_01-1_e4523865-b612-48b0-8816-cfdaddff6936.jpg,https://kr.sidiz.com/cdn/shop/files/ATTI_01-1_e4523865-b612-48b0-8816-cfdaddff6936.jpg,14518,detail,,,,,,
5,ATTI_01-2_61adcc06-efb2-442e-b937-1191c50bce0c.jpg,https://kr.sidiz.com/cdn/shop/files/ATTI_01-2_61adcc06-efb2-442e-b937-1191c50bce0c.jpg,14553,detail,,,,,,
6,ATTI_01-3_35dd0a16-bb0d-4b93-adf5-f87f9cc373fc.jpg,https://kr.sidiz.com/cdn/shop/files/ATTI_01-3_35dd0a16-bb0d-4b93-adf5-f87f9cc373fc.jpg,13621,detail,,,,,,
7,ATTI_01_-1_6a5bab8c-acc6-412d-bc27-0c8a9240cd40.jpg,https://kr.sidiz.com/cdn/shop/files/ATTI_01_-1_6a5bab8c-acc6-412d-bc27-0c8a9240cd40.jpg,41116,detail,,,,,,
8,ATTI_02-0.jpg,https://kr.sidiz.com/cdn/shop/files/ATTI_02-0.jpg,99960,detail,,,,,,
9,ATTI_02-1-0.jpg,https://kr.sidiz.com/cdn/shop/files/ATTI_02-1-0.jpg,40649,detail,,,,,,
10,ATTI_02-2_430e7d59-ddcc-4e90-bb43-904af1ea4507.jpg,https://kr.sidiz.com/cdn/shop/files/ATTI_02-2_430e7d59-ddcc-4e90-bb43-904af1ea4507.jpg,66873,detail,,,,,,
