order,kr_filename,kr_url,bytes,role,has_korean_text,kr_text_content,en_filename,en_alt_text,en_text_content,action
1,thum_FUNGUS.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS.jpg,45537,gallery,,,,,,
2,thum_FUNGUS_10MADDISON_02_5bd6c772-ba04-499b-8298-ea8bf5804d74.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_10MADDISON_02_5bd6c772-ba04-499b-8298-ea8bf5804d74.jpg,124829,gallery,,,,,,
3,thum_FUNGUS_14GRAY_02_990705e1-6c4f-426d-84fd-f30449a36605.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_14GRAY_02_990705e1-6c4f-426d-84fd-f30449a36605.jpg,116748,gallery,,,,,,
4,thum_FUNGUS_1VICARIO_02_ae63fdfd-d6b5-434e-8792-46410af87181.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_1VICARIO_02_ae63fdfd-d6b5-434e-8792-46410af87181.jpg,117967,gallery,,,,,,
5,thum_FUNGUS_37VANDEVEN_02_25752418-355d-47a4-a53e-2bd8ecf9922e.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_37VANDEVEN_02_25752418-355d-47a4-a53e-2bd8ecf9922e.jpg,122366,gallery,,,,,,
6,thum_FUNGUS_7SON_02_68cf36b5-19e3-4d3f-97b7-670154505e00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_7SON_02_68cf36b5-19e3-4d3f-97b7-670154505e00.jpg,118327,gallery,,,,,,
7,thum_FUNGUS_M130Y_454_00_7fcf680b-8f48-4135-aaf2-6e2d3378fa72.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_M130Y_454_00_7fcf680b-8f48-4135-aaf2-6e2d3378fa72.jpg,38423,gallery,,,,,,
8,thum_FUNGUS_M130Y_456_00_ed7ec138-14c0-4131-8e68-ab07b7510248.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_M130Y_456_00_ed7ec138-14c0-4131-8e68-ab07b7510248.jpg,36852,gallery,,,,,,
9,thum_FUNGUS_M130Y_456_00_f40d6610-2951-4a50-8a9e-c8a59f2b7720.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_M130Y_456_00_f40d6610-2951-4a50-8a9e-c8a59f2b7720.jpg,34000,gallery,,,,,,
10,thum_FUNGUS_M130Y_458_00_5d07ae31-6f31-4b35-be75-7829806fb468.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_M130Y_458_00_5d07ae31-6f31-4b35-be75-7829806fb468.jpg,31898,gallery,,,,,,
11,thum_FUNGUS_M130Y_458_00_832aeb90-9f1f-4339-b41e-be2efc9ea6de.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_M130Y_458_00_832aeb90-9f1f-4339-b41e-be2efc9ea6de.jpg,36093,gallery,,,,,,
12,thum_FUNGUS_M130_454_00_acd68f3f-2563-4ad1-8018-ca7d0a102264.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_M130_454_00_acd68f3f-2563-4ad1-8018-ca7d0a102264.jpg,38415,gallery,,,,,,
13,thum_FUNGUS_M130_456_00_3963bb03-faa1-4b78-9b76-5328a1b4093a.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_M130_456_00_3963bb03-faa1-4b78-9b76-5328a1b4093a.jpg,36852,gallery,,,,,,
14,thum_FUNGUS_M130_456_00_fb538fbf-e4dc-47ba-8063-c99947dea345.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_M130_456_00_fb538fbf-e4dc-47ba-8063-c99947dea345.jpg,34000,gallery,,,,,,
15,thum_FUNGUS_M130_458_00_8f65569d-2a81-4b4a-bb1c-9e8069094bca.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_M130_458_00_8f65569d-2a81-4b4a-bb1c-9e8069094bca.jpg,31898,gallery,,,,,,
16,thum_FUNGUS_M130_458_00_f6acda79-9ef4-48fa-8496-4e02fdd89686.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_M130_458_00_f6acda79-9ef4-48fa-8496-4e02fdd89686.jpg,36093,gallery,,,,,,
17,thum_FUNGUS_MN130Y_451L_00_35d30ede-a1e8-4ba1-8e90-27f1c073afb8.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_MN130Y_451L_00_35d30ede-a1e8-4ba1-8e90-27f1c073afb8.jpg,32265,gallery,,,,,,
18,thum_FUNGUS_MN130Y_451L_00_8a32457a-3c7d-4f2f-8390-d843135d36dd.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_MN130Y_451L_00_8a32457a-3c7d-4f2f-8390-d843135d36dd.jpg,37476,gallery,,,,,,
19,thum_FUNGUS_MN130Y_454B_00_12d45277-c586-4e2f-8cd7-245a2ef7b667.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_MN130Y_454B_00_12d45277-c586-4e2f-8cd7-245a2ef7b667.jpg,31562,gallery,,,,,,
20,thum_FUNGUS_MN130Y_454B_00_3b840f09-eb82-4ae5-bcee-e8ff6adabd85.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_MN130Y_454B_00_3b840f09-eb82-4ae5-bcee-e8ff6adabd85.jpg,36223,gallery,,,,,,
21,thum_FUNGUS_MN130Y_457L_00_19bf248a-3fc2-4620-84bd-979371aa6db9.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_MN130Y_457L_00_19bf248a-3fc2-4620-84bd-979371aa6db9.jpg,36444,gallery,,,,,,
22,thum_FUNGUS_MN130Y_457L_00_87183940-1344-45c4-a0bc-6a6645997b88.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_MN130Y_457L_00_87183940-1344-45c4-a0bc-6a6645997b88.jpg,31547,gallery,,,,,,
23,thum_FUNGUS_MN130_451L_00_c1e761b8-d6f6-46db-b3ec-34a728ebedbe.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_MN130_451L_00_c1e761b8-d6f6-46db-b3ec-34a728ebedbe.jpg,37476,gallery,,,,,,
24,thum_FUNGUS_MN130_454B_00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_MN130_454B_00.jpg,36248,gallery,,,,,,
25,thum_FUNGUS_MN130_454B_00_278993d9-f6b4-485a-8918-30e9f9afca94.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_MN130_454B_00_278993d9-f6b4-485a-8918-30e9f9afca94.jpg,36223,gallery,,,,,,
26,thum_FUNGUS_MN130_454B_00_86fa1eae-68b6-406c-99f9-590e696a6f76.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_MN130_454B_00_86fa1eae-68b6-406c-99f9-590e696a6f76.jpg,31562,gallery,,,,,,
27,thum_FUNGUS_MN130_457L_00_d359f29b-ca80-4b79-8ea2-1992d3a957f7.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_MN130_457L_00_d359f29b-ca80-4b79-8ea2-1992d3a957f7.jpg,36444,gallery,,,,,,
28,thum_FUNGUS_Stadium_02_7d43f2cd-36cc-4aee-9ae7-518571ffae43.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FUNGUS_Stadium_02_7d43f2cd-36cc-4aee-9ae7-518571ffae43.jpg,120405,gallery,,,,,,
29,FUNGUS_01-1.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_01-1.jpg,61479,detail,,,,,,
30,FUNGUS_01-2.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_01-2.jpg,66131,detail,,,,,,
31,FUNGUS_01-3.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_01-3.jpg,28814,detail,,,,,,
32,FUNGUS_01.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_01.jpg,100903,detail,,,,,,
33,FUNGUS_1.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_1.jpg,215906,detail,,,,,,
34,FUNGUS_1_1__01.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_1_1__01.jpg,299665,detail,,,,,,
35,FUNGUS_1_1__02.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_1_1__02.jpg,188704,detail,,,,,,
36,FUNGUS_1_1__03.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_1_1__03.jpg,218812,detail,,,,,,
37,FUNGUS_1_1__04.jpg,https://kr.sidiz.com/cdn/shop/files/FUNGUS_1_1__04.jpg,275152,detail,,,,,,
