order,kr_filename,kr_url,bytes,role,has_korean_text,kr_text_content,en_filename,en_alt_text,en_text_content,action
1,thum_GX_10MADDISON_00_4de55a46-c42b-4e4c-b217-fe0bf041b153.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_GX_10MADDISON_00_4de55a46-c42b-4e4c-b217-fe0bf041b153.jpg,90614,gallery,,,,,,
2,thum_GX_14GRAY_00_5887b8f9-7ce1-443a-84a6-dcc45737946a.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_GX_14GRAY_00_5887b8f9-7ce1-443a-84a6-dcc45737946a.jpg,89469,gallery,,,,,,
3,thum_GX_1VICARIO_00_9f90fce2-ff2b-4c7f-ac70-752a6e702ae1.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_GX_1VICARIO_00_9f90fce2-ff2b-4c7f-ac70-752a6e702ae1.jpg,88667,gallery,,,,,,
4,thum_GX_37VANDEVEN_00_d1d799ca-f629-4e2d-8243-25053cf86290.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_GX_37VANDEVEN_00_d1d799ca-f629-4e2d-8243-25053cf86290.jpg,90192,gallery,,,,,,
5,thum_GX_7SON_00_3a690505-f668-4d3d-b1d7-5f088b248a30.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_GX_7SON_00_3a690505-f668-4d3d-b1d7-5f088b248a30.jpg,88557,gallery,,,,,,
6,thum_GX_G20HDA0KK_4C1BWW_00_938dfb17-3cd9-4182-b656-d3fb41472794.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_GX_G20HDA0KK_4C1BWW_00_938dfb17-3cd9-4182-b656-d3fb41472794.jpg,104809,gallery,,,,,,
7,thum_GX_G20HDA0KK_4C1BWW_00_e23a9131-a78b-48bb-b6a8-d813dcdaa5ee.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_GX_G20HDA0KK_4C1BWW_00_e23a9131-a78b-48bb-b6a8-d813dcdaa5ee.jpg,91279,gallery,,,,,,
8,thum_GX_G20HDA0KK_4C6BK_00_840d314f-9f4c-4c1e-bfc0-3e8538ea0106.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_GX_G20HDA0KK_4C6BK_00_840d314f-9f4c-4c1e-bfc0-3e8538ea0106.jpg,114605,gallery,,,,,,
9,thum_GX_G20HDA0KK_4C6BK_00_f75a2107-a835-40e4-893d-5dcb74764834.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_GX_G20HDA0KK_4C6BK_00_f75a2107-a835-40e4-893d-5dcb74764834.jpg,119893,gallery,,,,,,
10,thum_GX_G20HDA0KK_CM9BK_00_51dca608-4835-401e-8cd9-9145ca622a38.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_GX_G20HDA0KK_CM9BK_00_51dca608-4835-401e-8cd9-9145ca622a38.jpg,117034,gallery,,,,,,
