order,kr_filename,kr_url,bytes,role,has_korean_text,kr_text_content,en_filename,en_alt_text,en_text_content,action
1,thum_ible_S60SFG0KK_451M_00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ible_S60SFG0KK_451M_00.jpg,86412,gallery,,,,,,
2,thum_ible_S60SFG0KK_452N_00_1d94044d-2e28-43a1-9a97-3e5727a911ff.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ible_S60SFG0KK_452N_00_1d94044d-2e28-43a1-9a97-3e5727a911ff.jpg,79612,gallery,,,,,,
3,thum_ible_S60SFG0KK_456B_00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ible_S60SFG0KK_456B_00.jpg,98910,gallery,,,,,,
4,thum_ible_S60SFU0KK_451M_00_3b6fbc7d-3c1d-40d6-ad82-b68623f33496.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ible_S60SFU0KK_451M_00_3b6fbc7d-3c1d-40d6-ad82-b68623f33496.jpg,102127,gallery,,,,,,
5,thum_ible_S60SFU0KK_452N_00_e2383a1a-13b9-4610-9ca5-b00f3cdcdb0c.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ible_S60SFU0KK_452N_00_e2383a1a-13b9-4610-9ca5-b00f3cdcdb0c.jpg,92854,gallery,,,,,,
6,thum_ible_S60SFU0KK_456B_00_0a6e6e8a-8f5e-4634-915a-461f575e0255.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ible_S60SFU0KK_456B_00_0a6e6e8a-8f5e-4634-915a-461f575e0255.jpg,113291,gallery,,,,,,
7,thum_ible_TNA501FE_456_00_24f6a147-4176-46be-9624-7e0af5bcdb90.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ible_TNA501FE_456_00_24f6a147-4176-46be-9624-7e0af5bcdb90.jpg,127222,gallery,,,,,,
8,thum_ible_TNA501FE_456_00_fce85b25-a37a-4c12-b337-fd11f73ad85d.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ible_TNA501FE_456_00_fce85b25-a37a-4c12-b337-fd11f73ad85d.jpg,127222,gallery,,,,,,
9,thum_ible_TNB501FE_451M_00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ible_TNB501FE_451M_00.jpg,94793,gallery,,,,,,
10,thum_ible_TNB501FE_451M_00_268446e8-bf47-4026-bc32-218d7088b200.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ible_TNB501FE_451M_00_268446e8-bf47-4026-bc32-218d7088b200.jpg,94793,gallery,,,,,,
11,thum_ible_TNB501FE_452N_00_ae594201-5018-4d42-af78-7cf807fbe6ef.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ible_TNB501FE_452N_00_ae594201-5018-4d42-af78-7cf807fbe6ef.jpg,107660,gallery,,,,,,
12,1_46f8cc6c-9e40-43c6-983f-6ec8d2389ee0.png,https://kr.sidiz.com/cdn/shop/files/1_46f8cc6c-9e40-43c6-983f-6ec8d2389ee0.png,2839979,detail,,,,,,
13,3_a540ee9a-0840-46c3-a4f5-8714eff30f66.png,https://kr.sidiz.com/cdn/shop/files/3_a540ee9a-0840-46c3-a4f5-8714eff30f66.png,9309285,detail,,,,,,
14,4_74ebe688-caeb-4f9d-99dc-ecbb22824764.png,https://kr.sidiz.com/cdn/shop/files/4_74ebe688-caeb-4f9d-99dc-ecbb22824764.png,9387796,detail,,,,,,
15,5_9a36585e-be44-4c38-b9c7-03a270f0c9e0.png,https://kr.sidiz.com/cdn/shop/files/5_9a36585e-be44-4c38-b9c7-03a270f0c9e0.png,9190723,detail,,,,,,
16,IBLE1.jpg,https://kr.sidiz.com/cdn/shop/files/IBLE1.jpg,104904,detail,,,,,,
17,IBLE2.jpg,https://kr.sidiz.com/cdn/shop/files/IBLE2.jpg,184725,detail,,,,,,
18,IBLE3.jpg,https://kr.sidiz.com/cdn/shop/files/IBLE3.jpg,133409,detail,,,,,,
