order,kr_filename,kr_url,bytes,role,has_korean_text,kr_text_content,en_filename,en_alt_text,en_text_content,action
1,thum_MANE_M071E_152_00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_MANE_M071E_152_00.jpg,77151,gallery,,,,,,
2,thum_MANE_M071E_256_00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_MANE_M071E_256_00.jpg,105933,gallery,,,,,,
3,thum_MANE_M071E_A845AC_00_c25b796f-028a-4025-a860-a52bd3b36bc0.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_MANE_M071E_A845AC_00_c25b796f-028a-4025-a860-a52bd3b36bc0.jpg,49368,gallery,,,,,,
4,thum_MANE_MN021E_IBLWW_00_b56690de-99c3-484c-8e6d-e99706851b5e.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_MANE_MN021E_IBLWW_00_b56690de-99c3-484c-8e6d-e99706851b5e.jpg,34784,gallery,,,,,,
5,thum_MANE_MN021E_MGNWW_00_60cdcc2b-b912-40c9-a0d1-97f1419d3e07.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_MANE_MN021E_MGNWW_00_60cdcc2b-b912-40c9-a0d1-97f1419d3e07.jpg,37835,gallery,,,,,,
6,thum_MANE_MN021E_RPKWW_00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_MANE_MN021E_RPKWW_00.jpg,36100,gallery,,,,,,
7,thum_MANE_MN021E_WHWW_00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_MANE_MN021E_WHWW_00.jpg,32789,gallery,,,,,,
8,1_7522236a-3c75-47a8-9db9-a1421e46e9bf.jpg,https://kr.sidiz.com/cdn/shop/files/1_7522236a-3c75-47a8-9db9-a1421e46e9bf.jpg,21032,detail,,,,,,
9,1_7793aeb9-8598-4980-9c96-3d9a29879baf.jpg,https://kr.sidiz.com/cdn/shop/files/1_7793aeb9-8598-4980-9c96-3d9a29879baf.jpg,11449,detail,,,,,,
10,2_b42c8d5a-4c95-40ff-911a-8766cd3db144.jpg,https://kr.sidiz.com/cdn/shop/files/2_b42c8d5a-4c95-40ff-911a-8766cd3db144.jpg,18481,detail,,,,,,
11,3_2b2b3146-6694-47c0-a9be-837ef682c22d.jpg,https://kr.sidiz.com/cdn/shop/files/3_2b2b3146-6694-47c0-a9be-837ef682c22d.jpg,81449,detail,,,,,,
12,AI_MANE_03.png,https://kr.sidiz.com/cdn/shop/files/AI_MANE_03.png,20399203,detail,,,,,,
13,AI_MANE_04.png,https://kr.sidiz.com/cdn/shop/files/AI_MANE_04.png,18998628,detail,,,,,,
14,AI_MANE_05.png,https://kr.sidiz.com/cdn/shop/files/AI_MANE_05.png,19779566,detail,,,,,,
15,AI_MANE_08.png,https://kr.sidiz.com/cdn/shop/files/AI_MANE_08.png,19162150,detail,,,,,,
16,AI_MANE_09.png,https://kr.sidiz.com/cdn/shop/files/AI_MANE_09.png,20231100,detail,,,,,,
17,AI_MANE_10.png,https://kr.sidiz.com/cdn/shop/files/AI_MANE_10.png,17290260,detail,,,,,,
