order,kr_filename,kr_url,bytes,role,has_korean_text,kr_text_content,en_filename,en_alt_text,en_text_content,action
1,thum_FABRIC_SPRAY_INFINITY__01.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_FABRIC_SPRAY_INFINITY__01.jpg,39162,gallery,,,,,,
2,Head_380b5047-4714-4596-af51-1ca2935decaf.jpg,https://kr.sidiz.com/cdn/shop/files/Head_380b5047-4714-4596-af51-1ca2935decaf.jpg,202006,detail,,,,,,
3,Head_M_1376240a-1e06-4794-9537-36b2bbf3cf8f.jpg,https://kr.sidiz.com/cdn/shop/files/Head_M_1376240a-1e06-4794-9537-36b2bbf3cf8f.jpg,212001,detail,,,,,,
4,INFINITY.png,https://kr.sidiz.com/cdn/shop/files/INFINITY.png,13256323,detail,,,,,,
5,INFINITY_06f660ae-8814-4636-9869-98570faefaee.png,https://kr.sidiz.com/cdn/shop/files/INFINITY_06f660ae-8814-4636-9869-98570faefaee.png,17063256,detail,,,,,,
6,Img2_d90e4475-0a63-4d0c-9be4-90a4de6baa46.jpg,https://kr.sidiz.com/cdn/shop/files/Img2_d90e4475-0a63-4d0c-9be4-90a4de6baa46.jpg,21486,detail,,,,,,
7,Img3_4a445753-bb31-4245-bdc7-ba29bf2b151b.jpg,https://kr.sidiz.com/cdn/shop/files/Img3_4a445753-bb31-4245-bdc7-ba29bf2b151b.jpg,163518,detail,,,,,,
8,Img5.jpg,https://kr.sidiz.com/cdn/shop/files/Img5.jpg,126203,detail,,,,,,
9,Img6.jpg,https://kr.sidiz.com/cdn/shop/files/Img6.jpg,14975,detail,,,,,,
10,Img7.jpg,https://kr.sidiz.com/cdn/shop/files/Img7.jpg,57094,detail,,,,,,
11,Img8_6a89a295-db5e-43a0-a6fa-02649f78c39e.jpg,https://kr.sidiz.com/cdn/shop/files/Img8_6a89a295-db5e-43a0-a6fa-02649f78c39e.jpg,49647,detail,,,,,,
12,thum_FABRIC_SPRAY_INFINITY__01.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FABRIC_SPRAY_INFINITY__01.jpg,39162,detail,,,,,,
13,thum_FABRIC_SPRAY_INFINITY__02.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FABRIC_SPRAY_INFINITY__02.jpg,51481,detail,,,,,,
14,thum_FABRIC_SPRAY_INFINITY__03.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FABRIC_SPRAY_INFINITY__03.jpg,74632,detail,,,,,,
15,thum_FABRIC_SPRAY_INFINITY__04.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FABRIC_SPRAY_INFINITY__04.jpg,101345,detail,,,,,,
16,thum_THE_PROGRESSIVE_BAG_01.jpg,https://kr.sidiz.com/cdn/shop/files/thum_THE_PROGRESSIVE_BAG_01.jpg,107939,detail,,,,,,
