order,kr_filename,kr_url,bytes,role,has_korean_text,kr_text_content,en_filename,en_alt_text,en_text_content,action
1,OUI_M171EZ___371LBW_00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/OUI_M171EZ___371LBW_00.jpg,49990,gallery,,,,,,
2,OUI_M171EZ___452BW_00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/OUI_M171EZ___452BW_00.jpg,46112,gallery,,,,,,
3,OUI_M171EZ___BW_00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/OUI_M171EZ___BW_00.jpg,45104,gallery,,,,,,
4,OUI_M174E___371LBW_00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/OUI_M174E___371LBW_00.jpg,42566,gallery,,,,,,
5,OUI_M174E___452BW_00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/OUI_M174E___452BW_00.jpg,44232,gallery,,,,,,
6,OUI_M174E___BW_00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/OUI_M174E___BW_00.jpg,34390,gallery,,,,,,
7,OUI_MN171EZ___371LBW_00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/OUI_MN171EZ___371LBW_00.jpg,63473,gallery,,,,,,
8,OUI_MN171EZ___452BW_00_b466dc75-a306-412f-a6cd-780476591e99.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/OUI_MN171EZ___452BW_00_b466dc75-a306-412f-a6cd-780476591e99.jpg,57976,gallery,,,,,,
9,OUI_MN171EZ___BW_00_c18f9002-e081-4e6d-96b0-64563b019510.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/OUI_MN171EZ___BW_00_c18f9002-e081-4e6d-96b0-64563b019510.jpg,52394,gallery,,,,,,
10,OUI_MN174E___371LBW_00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/OUI_MN174E___371LBW_00.jpg,53334,gallery,,,,,,
11,OUI_MN174E___452BW_00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/OUI_MN174E___452BW_00.jpg,54133,gallery,,,,,,
12,OUI_MN174E___BW_00.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/OUI_MN174E___BW_00.jpg,46654,gallery,,,,,,
13,1_f37f0206-0d2d-40d1-94bd-fb75455bb2bb.jpg,https://kr.sidiz.com/cdn/shop/files/1_f37f0206-0d2d-40d1-94bd-fb75455bb2bb.jpg,34651,detail,,,,,,
14,2_4a7fe014-d9d0-46ee-855c-b7b25889c01f.jpg,https://kr.sidiz.com/cdn/shop/files/2_4a7fe014-d9d0-46ee-855c-b7b25889c01f.jpg,24150,detail,,,,,,
15,3_4d0ba866-213f-43df-b2b9-b3740790f7a0.jpg,https://kr.sidiz.com/cdn/shop/files/3_4d0ba866-213f-43df-b2b9-b3740790f7a0.jpg,62776,detail,,,,,,
16,4_2f75fe3c-8b55-4611-8aaf-999540f75b70.jpg,https://kr.sidiz.com/cdn/shop/files/4_2f75fe3c-8b55-4611-8aaf-999540f75b70.jpg,24419,detail,,,,,,
17,Head_0ff0bcc6-7dd8-4690-87b9-bcca2f23aca7.jpg,https://kr.sidiz.com/cdn/shop/files/Head_0ff0bcc6-7dd8-4690-87b9-bcca2f23aca7.jpg,592564,detail,,,,,,
18,Head_M_832eeb34-2e71-4502-b681-882fde67f62a.jpg,https://kr.sidiz.com/cdn/shop/files/Head_M_832eeb34-2e71-4502-b681-882fde67f62a.jpg,435011,detail,,,,,,
19,Img1_28e03b66-248f-4270-86f3-eaac421982d4.jpg,https://kr.sidiz.com/cdn/shop/files/Img1_28e03b66-248f-4270-86f3-eaac421982d4.jpg,12025,detail,,,,,,
20,Img1_7d78df68-48d4-4152-b3c1-0d31e063feb0.jpg,https://kr.sidiz.com/cdn/shop/files/Img1_7d78df68-48d4-4152-b3c1-0d31e063feb0.jpg,13472,detail,,,,,,
