order,kr_filename,kr_url,bytes,role,has_korean_text,kr_text_content,en_filename,en_alt_text,en_text_content,action
1,thum_ringo_SJC2_A442BW_00_f76b89d3-304f-4353-a5a6-c47d15966900.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ringo_SJC2_A442BW_00_f76b89d3-304f-4353-a5a6-c47d15966900.jpg,37463,gallery,,,,,,
2,thum_ringo_SJC2_A442BW_01_a40bf3e5-0ee3-4f2c-a08b-db5e1311254d.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ringo_SJC2_A442BW_01_a40bf3e5-0ee3-4f2c-a08b-db5e1311254d.jpg,36647,gallery,,,,,,
3,thum_ringo_SJC2_A442BW_02_1b07e6b5-82b5-4130-8077-482ee0b05d93.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ringo_SJC2_A442BW_02_1b07e6b5-82b5-4130-8077-482ee0b05d93.jpg,35185,gallery,,,,,,
4,thum_ringo_SJC2_A442BW_03_440f85de-97e7-4e96-a346-b8d518ec37de.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ringo_SJC2_A442BW_03_440f85de-97e7-4e96-a346-b8d518ec37de.jpg,36429,gallery,,,,,,
5,thum_ringo_SJC2_A442BW_04_d454da0e-0881-4dff-9b70-9c1b163e3156.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ringo_SJC2_A442BW_04_d454da0e-0881-4dff-9b70-9c1b163e3156.jpg,37451,gallery,,,,,,
6,thum_ringo_SJC2_A443B_00_462266ee-c633-4500-adb6-9ea6193ce264.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ringo_SJC2_A443B_00_462266ee-c633-4500-adb6-9ea6193ce264.jpg,40804,gallery,,,,,,
7,thum_ringo_SJC2_A443B_01_66337292-cd30-4b5d-9d02-84ca7db1f02a.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ringo_SJC2_A443B_01_66337292-cd30-4b5d-9d02-84ca7db1f02a.jpg,37933,gallery,,,,,,
8,thum_ringo_SJC2_A443B_02_0b8eae3d-ad7a-4aba-815c-e3c1a1ff4608.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ringo_SJC2_A443B_02_0b8eae3d-ad7a-4aba-815c-e3c1a1ff4608.jpg,40953,gallery,,,,,,
9,thum_ringo_SJC2_A443B_03_bdb114d3-bc08-4752-a025-e9097402e337.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ringo_SJC2_A443B_03_bdb114d3-bc08-4752-a025-e9097402e337.jpg,39256,gallery,,,,,,
10,thum_ringo_SJC2_A443B_04_d3311fae-6231-4c3f-9495-d56dca4d1b52.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ringo_SJC2_A443B_04_d3311fae-6231-4c3f-9495-d56dca4d1b52.jpg,41097,gallery,,,,,,
11,thum_ringo_SJC2_A447B_00_000c3596-0e7c-4d21-887e-6c547d5af1b8.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ringo_SJC2_A447B_00_000c3596-0e7c-4d21-887e-6c547d5af1b8.jpg,46017,gallery,,,,,,
12,thum_ringo_SJC2_A447B_01_87903c5e-7c8d-4329-8756-4f8a7c1f94a9.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ringo_SJC2_A447B_01_87903c5e-7c8d-4329-8756-4f8a7c1f94a9.jpg,39435,gallery,,,,,,
13,thum_ringo_SJC2_A447B_02_50de3747-70ec-49fa-b1eb-3780ba1d21fa.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ringo_SJC2_A447B_02_50de3747-70ec-49fa-b1eb-3780ba1d21fa.jpg,49855,gallery,,,,,,
14,thum_ringo_SJC2_A447B_03_8b855ab3-a4ed-4052-b4aa-31bf6b7fcaf7.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ringo_SJC2_A447B_03_8b855ab3-a4ed-4052-b4aa-31bf6b7fcaf7.jpg,43446,gallery,,,,,,
15,thum_ringo_SJC2_A447B_04_66eb1fd0-cdef-4db6-aba5-b9dfe18ca8b8.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_ringo_SJC2_A447B_04_66eb1fd0-cdef-4db6-aba5-b9dfe18ca8b8.jpg,45632,gallery,,,,,,
16,BLOCK-RING-NOTICE.jpg,https://kr.sidiz.com/cdn/shop/files/BLOCK-RING-NOTICE.jpg,17526,detail,,,,,,
17,DSC7130.png,https://kr.sidiz.com/cdn/shop/files/DSC7130.png,11810367,detail,,,,,,
18,DSC7269_d61ebf65-4fec-4a1f-b95d-d178236bdb96.png,https://kr.sidiz.com/cdn/shop/files/DSC7269_d61ebf65-4fec-4a1f-b95d-d178236bdb96.png,7268401,detail,,,,,,
19,Group_1000006327_fc6d763c-f916-43c2-99d3-5a3a79f571af.jpg,https://kr.sidiz.com/cdn/shop/files/Group_1000006327_fc6d763c-f916-43c2-99d3-5a3a79f571af.jpg,155524,detail,,,,,,
20,MUUVE_____00.jpg,https://kr.sidiz.com/cdn/shop/files/MUUVE_____00.jpg,73235,detail,,,,,,
21,MUUVE_____00_38ec3062-1bad-41fd-8fa1-61325b251294.jpg,https://kr.sidiz.com/cdn/shop/files/MUUVE_____00_38ec3062-1bad-41fd-8fa1-61325b251294.jpg,60226,detail,,,,,,
22,MUUVE_____00_a210f934-00f6-4826-a3e0-5cba3892e6c1.jpg,https://kr.sidiz.com/cdn/shop/files/MUUVE_____00_a210f934-00f6-4826-a3e0-5cba3892e6c1.jpg,72286,detail,,,,,,
23,MUUVE_____00_d3f65225-6970-4a3d-b07e-8f072bf3d9ae.jpg,https://kr.sidiz.com/cdn/shop/files/MUUVE_____00_d3f65225-6970-4a3d-b07e-8f072bf3d9ae.jpg,59033,detail,,,,,,
24,OUI_M171EZ___371LBW_00.jpg,https://kr.sidiz.com/cdn/shop/files/OUI_M171EZ___371LBW_00.jpg,49990,detail,,,,,,
25,OUI_M171EZ___452BW_00.jpg,https://kr.sidiz.com/cdn/shop/files/OUI_M171EZ___452BW_00.jpg,46112,detail,,,,,,
26,OUI_M171EZ___BW_00.jpg,https://kr.sidiz.com/cdn/shop/files/OUI_M171EZ___BW_00.jpg,45104,detail,,,,,,
27,OUI_M174E___371LBW_00.jpg,https://kr.sidiz.com/cdn/shop/files/OUI_M174E___371LBW_00.jpg,42566,detail,,,,,,
28,OUI_M174E___452BW_00.jpg,https://kr.sidiz.com/cdn/shop/files/OUI_M174E___452BW_00.jpg,44232,detail,,,,,,
