order,kr_filename,kr_url,bytes,role,has_korean_text,kr_text_content,en_filename,en_alt_text,en_text_content,action
1,T502__IG____45.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/T502__IG____45.jpg,136683,gallery,,,,,,
2,T502__WG____45.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/T502__WG____45.jpg,109300,gallery,,,,,,
3,T502__WW____45.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/T502__WW____45.jpg,112975,gallery,,,,,,
4,0bb9f4ff25f1cdf3c1a8fb3eaaa0c322.jpg,https://kr.sidiz.com/cdn/shop/files/0bb9f4ff25f1cdf3c1a8fb3eaaa0c322.jpg,43250,detail,,,,,,
5,2026-07-05_14.06.34.png,https://kr.sidiz.com/cdn/shop/files/2026-07-05_14.06.34.png,4572255,detail,,,,,,
6,2026-07-05_14.07.15.png,https://kr.sidiz.com/cdn/shop/files/2026-07-05_14.07.15.png,3550969,detail,,,,,,
7,2026-07-05_14.08.24.png,https://kr.sidiz.com/cdn/shop/files/2026-07-05_14.08.24.png,4535268,detail,,,,,,
8,2026-07-05_14.08.56.png,https://kr.sidiz.com/cdn/shop/files/2026-07-05_14.08.56.png,3508870,detail,,,,,,
9,2026-07-05_14.12.22.png,https://kr.sidiz.com/cdn/shop/files/2026-07-05_14.12.22.png,2586174,detail,,,,,,
10,401bceb1cd3281a9696cc523160ad0cd.jpg,https://kr.sidiz.com/cdn/shop/files/401bceb1cd3281a9696cc523160ad0cd.jpg,78722,detail,,,,,,
11,8cb2ce110be6921d277f7f19cdc7c04c.jpg,https://kr.sidiz.com/cdn/shop/files/8cb2ce110be6921d277f7f19cdc7c04c.jpg,22324,detail,,,,,,
12,BLOCK-EGA-NOTICE.jpg,https://kr.sidiz.com/cdn/shop/files/BLOCK-EGA-NOTICE.jpg,15179,detail,,,,,,
13,Head_M_46be16ab-77b1-4076-9ef8-80a99244113b.jpg,https://kr.sidiz.com/cdn/shop/files/Head_M_46be16ab-77b1-4076-9ef8-80a99244113b.jpg,188774,detail,,,,,,
14,Img2_f746652c-719b-4616-9a41-6d5f36fc68e0.jpg,https://kr.sidiz.com/cdn/shop/files/Img2_f746652c-719b-4616-9a41-6d5f36fc68e0.jpg,113162,detail,,,,,,
15,T502_T501_web-1_45b23df2-fe25-4ab1-8e4b-2a07ccf0a559.png,https://kr.sidiz.com/cdn/shop/files/T502_T501_web-1_45b23df2-fe25-4ab1-8e4b-2a07ccf0a559.png,2035631,detail,,,,,,
16,T502_T501_web-2_ed88e478-017e-4686-8ea0-d89394da87d3.png,https://kr.sidiz.com/cdn/shop/files/T502_T501_web-2_ed88e478-017e-4686-8ea0-d89394da87d3.png,1788855,detail,,,,,,
17,T50_2__WG_0e0c5fe4-329b-4c25-a261-6924b1f014b1.jpg,https://kr.sidiz.com/cdn/shop/files/T50_2__WG_0e0c5fe4-329b-4c25-a261-6924b1f014b1.jpg,122785,detail,,,,,,
18,T50_2__WG_86d618ee-a651-4433-af58-470cac771b12.jpg,https://kr.sidiz.com/cdn/shop/files/T50_2__WG_86d618ee-a651-4433-af58-470cac771b12.jpg,76127,detail,,,,,,
19,T50_2__WG_96dede52-3168-4f69-85ce-1b5605bf758c.jpg,https://kr.sidiz.com/cdn/shop/files/T50_2__WG_96dede52-3168-4f69-85ce-1b5605bf758c.jpg,163825,detail,,,,,,
20,T50_2__WG____45_7f9a61c2-115a-4f8f-8eaa-466503b313f5.jpg,https://kr.sidiz.com/cdn/shop/files/T50_2__WG____45_7f9a61c2-115a-4f8f-8eaa-466503b313f5.jpg,113471,detail,,,,,,
21,T50_2__WG____45_cdef8221-445e-4a1d-bed6-2c793da8d38d.jpg,https://kr.sidiz.com/cdn/shop/files/T50_2__WG____45_cdef8221-445e-4a1d-bed6-2c793da8d38d.jpg,145159,detail,,,,,,
22,T50_7c4bc130-e61f-49f7-a7be-a1d11932b674.png,https://kr.sidiz.com/cdn/shop/files/T50_7c4bc130-e61f-49f7-a7be-a1d11932b674.png,571653,detail,,,,,,
23,T50_IG_1_70c4853a-e112-48cb-9647-091f6c6b0e8a.png,https://kr.sidiz.com/cdn/shop/files/T50_IG_1_70c4853a-e112-48cb-9647-091f6c6b0e8a.png,1802367,detail,,,,,,
24,T50_IG_2_bd3f3a31-7d50-433f-b40b-030158ae1c7d.png,https://kr.sidiz.com/cdn/shop/files/T50_IG_2_bd3f3a31-7d50-433f-b40b-030158ae1c7d.png,1571142,detail,,,,,,
25,T50_IG_3_7580ab3b-52d0-4137-bed3-774ac84090fb.png,https://kr.sidiz.com/cdn/shop/files/T50_IG_3_7580ab3b-52d0-4137-bed3-774ac84090fb.png,773262,detail,,,,,,
26,T50_IG_4_b300c46e-9a8e-4c55-96a3-164b7b72d2e1.png,https://kr.sidiz.com/cdn/shop/files/T50_IG_4_b300c46e-9a8e-4c55-96a3-164b7b72d2e1.png,1187853,detail,,,,,,
27,T50_IG_5_034b6e5e-0240-4fb6-a7d8-adbd585ad411.png,https://kr.sidiz.com/cdn/shop/files/T50_IG_5_034b6e5e-0240-4fb6-a7d8-adbd585ad411.png,1802367,detail,,,,,,
28,T50_S__1.png,https://kr.sidiz.com/cdn/shop/files/T50_S__1.png,350330,detail,,,,,,
29,T50_WW_1_35bfd485-67cb-48ec-86aa-12c51a90f5d4.png,https://kr.sidiz.com/cdn/shop/files/T50_WW_1_35bfd485-67cb-48ec-86aa-12c51a90f5d4.png,1129446,detail,,,,,,
30,T50_WW_2_dfd339a9-2b3e-4bec-9069-d975a8c96121.png,https://kr.sidiz.com/cdn/shop/files/T50_WW_2_dfd339a9-2b3e-4bec-9069-d975a8c96121.png,1085009,detail,,,,,,
31,T50_WW_3_6365436f-18fa-4344-a299-2b040687944d.png,https://kr.sidiz.com/cdn/shop/files/T50_WW_3_6365436f-18fa-4344-a299-2b040687944d.png,751936,detail,,,,,,
32,T50_WW_4_449c303e-6263-46ec-b7f8-3a114fd7136c.png,https://kr.sidiz.com/cdn/shop/files/T50_WW_4_449c303e-6263-46ec-b7f8-3a114fd7136c.png,1012253,detail,,,,,,
33,T50_WW_5_a177f353-35e6-491a-8202-9429965ceacb.png,https://kr.sidiz.com/cdn/shop/files/T50_WW_5_a177f353-35e6-491a-8202-9429965ceacb.png,1009235,detail,,,,,,
34,T51HLDA0KK_01.jpg,https://kr.sidiz.com/cdn/shop/files/T51HLDA0KK_01.jpg,49124,detail,,,,,,
35,T51HLDA0KK_02.jpg,https://kr.sidiz.com/cdn/shop/files/T51HLDA0KK_02.jpg,46673,detail,,,,,,
36,f5f81e8ac28906104e8a323564484a17.jpg,https://kr.sidiz.com/cdn/shop/files/f5f81e8ac28906104e8a323564484a17.jpg,23918,detail,,,,,,
37,pc_1.png,https://kr.sidiz.com/cdn/shop/files/pc_1.png,67874,detail,,,,,,
38,18f412bb136d4b73bd01c305f94ae414.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/18f412bb136d4b73bd01c305f94ae414.thumbnail.0000000000.jpg,99336,detail,,,,,,
39,29b55f14ead64a3f8228c67b95afe8dc.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/29b55f14ead64a3f8228c67b95afe8dc.thumbnail.0000000000.jpg,91742,detail,,,,,,
40,2e862efef722422ba97d03f8be3e1eb2.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/2e862efef722422ba97d03f8be3e1eb2.thumbnail.0000000000.jpg,74563,detail,,,,,,
41,2fc6ac7be44d4a78bf9feaaf4b7d224f.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/2fc6ac7be44d4a78bf9feaaf4b7d224f.thumbnail.0000000000.jpg,111683,detail,,,,,,
42,3c3449baafcb457fb2ecc4d5ac66360e.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/3c3449baafcb457fb2ecc4d5ac66360e.thumbnail.0000000000.jpg,92747,detail,,,,,,
43,5110530e20dd42798db2581861369556.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/5110530e20dd42798db2581861369556.thumbnail.0000000000.jpg,41093,detail,,,,,,
44,71cf1da88479417ea1d6f9f7ca8d6cec.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/71cf1da88479417ea1d6f9f7ca8d6cec.thumbnail.0000000000.jpg,77831,detail,,,,,,
45,7b3e9de3fecf43c4a63383ca8e2a156e.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/7b3e9de3fecf43c4a63383ca8e2a156e.thumbnail.0000000000.jpg,98887,detail,,,,,,
46,7e273350bc3641cbaed200e9dae43dca.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/7e273350bc3641cbaed200e9dae43dca.thumbnail.0000000000.jpg,45603,detail,,,,,,
47,8533b757e10c4eccbf2391db07c6cb41.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/8533b757e10c4eccbf2391db07c6cb41.thumbnail.0000000000.jpg,79228,detail,,,,,,
48,91478640760643fdb2c201e0478c8884.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/91478640760643fdb2c201e0478c8884.thumbnail.0000000000.jpg,79083,detail,,,,,,
49,9720e682fc384f499d0d13188e20bedf.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/9720e682fc384f499d0d13188e20bedf.thumbnail.0000000000.jpg,80542,detail,,,,,,
50,9f27dee664044d0bae16e1fde7eec626.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/9f27dee664044d0bae16e1fde7eec626.thumbnail.0000000000.jpg,24315,detail,,,,,,
51,be538a49271f4420a44487bad3d2b7da.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/be538a49271f4420a44487bad3d2b7da.thumbnail.0000000000.jpg,60858,detail,,,,,,
52,d00c8cf2c9d54302a97c3d11fda26c8a.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/d00c8cf2c9d54302a97c3d11fda26c8a.thumbnail.0000000000.jpg,54145,detail,,,,,,
53,f02b76e3f88c413bafefbb762de2d909.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/f02b76e3f88c413bafefbb762de2d909.thumbnail.0000000000.jpg,63209,detail,,,,,,
54,f22bf344b9ed4e1bb29879c1fa78b9da.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/f22bf344b9ed4e1bb29879c1fa78b9da.thumbnail.0000000000.jpg,117066,detail,,,,,,
55,fd2c5226e7bc4477b00d7c655e365fb1.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/fd2c5226e7bc4477b00d7c655e365fb1.thumbnail.0000000000.jpg,126935,detail,,,,,,
56,thum_CASTER-GLIDE_T509G_BK_01.jpg,https://kr.sidiz.com/cdn/shop/files/thum_CASTER-GLIDE_T509G_BK_01.jpg,49535,detail,,,,,,
57,18f412bb136d4b73bd01c305f94ae414.HD-1080p-7.2Mbps-88202354.mp4,https://kr.sidiz.com/cdn/shop/videos/c/vp/18f412bb136d4b73bd01c305f94ae414/18f412bb136d4b73bd01c305f94ae414.HD-1080p-7.2Mbps-88202354.mp4,4887720,detail,,,,,,
58,29b55f14ead64a3f8228c67b95afe8dc.HD-1080p-7.2Mbps-88039623.mp4,https://kr.sidiz.com/cdn/shop/videos/c/vp/29b55f14ead64a3f8228c67b95afe8dc/29b55f14ead64a3f8228c67b95afe8dc.HD-1080p-7.2Mbps-88039623.mp4,8876021,detail,,,,,,
59,2e862efef722422ba97d03f8be3e1eb2.HD-1080p-4.8Mbps-88143127.mp4,https://kr.sidiz.com/cdn/shop/videos/c/vp/2e862efef722422ba97d03f8be3e1eb2/2e862efef722422ba97d03f8be3e1eb2.HD-1080p-4.8Mbps-88143127.mp4,4641643,detail,,,,,,
60,2fc6ac7be44d4a78bf9feaaf4b7d224f.HD-1080p-7.2Mbps-88202556.mp4,https://kr.sidiz.com/cdn/shop/videos/c/vp/2fc6ac7be44d4a78bf9feaaf4b7d224f/2fc6ac7be44d4a78bf9feaaf4b7d224f.HD-1080p-7.2Mbps-88202556.mp4,4417923,detail,,,,,,
61,3c3449baafcb457fb2ecc4d5ac66360e.HD-1080p-7.2Mbps-88196343.mp4,https://kr.sidiz.com/cdn/shop/videos/c/vp/3c3449baafcb457fb2ecc4d5ac66360e/3c3449baafcb457fb2ecc4d5ac66360e.HD-1080p-7.2Mbps-88196343.mp4,9007925,detail,,,,,,
62,5110530e20dd42798db2581861369556.HD-1080p-7.2Mbps-88964623.mp4,https://kr.sidiz.com/cdn/shop/videos/c/vp/5110530e20dd42798db2581861369556/5110530e20dd42798db2581861369556.HD-1080p-7.2Mbps-88964623.mp4,6978099,detail,,,,,,
63,71cf1da88479417ea1d6f9f7ca8d6cec.HD-1080p-7.2Mbps-88038615.mp4,https://kr.sidiz.com/cdn/shop/videos/c/vp/71cf1da88479417ea1d6f9f7ca8d6cec/71cf1da88479417ea1d6f9f7ca8d6cec.HD-1080p-7.2Mbps-88038615.mp4,4555964,detail,,,,,,
64,7b3e9de3fecf43c4a63383ca8e2a156e.HD-1080p-7.2Mbps-88040822.mp4,https://kr.sidiz.com/cdn/shop/videos/c/vp/7b3e9de3fecf43c4a63383ca8e2a156e/7b3e9de3fecf43c4a63383ca8e2a156e.HD-1080p-7.2Mbps-88040822.mp4,4558398,detail,,,,,,
65,7e273350bc3641cbaed200e9dae43dca.HD-720p-4.5Mbps-88880974.mp4,https://kr.sidiz.com/cdn/shop/videos/c/vp/7e273350bc3641cbaed200e9dae43dca/7e273350bc3641cbaed200e9dae43dca.HD-720p-4.5Mbps-88880974.mp4,3697634,detail,,,,,,
66,8533b757e10c4eccbf2391db07c6cb41.HD-1080p-7.2Mbps-88040684.mp4,https://kr.sidiz.com/cdn/shop/videos/c/vp/8533b757e10c4eccbf2391db07c6cb41/8533b757e10c4eccbf2391db07c6cb41.HD-1080p-7.2Mbps-88040684.mp4,4459777,detail,,,,,,
67,91478640760643fdb2c201e0478c8884.HD-720p-2.1Mbps-88142988.mp4,https://kr.sidiz.com/cdn/shop/videos/c/vp/91478640760643fdb2c201e0478c8884/91478640760643fdb2c201e0478c8884.HD-720p-2.1Mbps-88142988.mp4,1421352,detail,,,,,,
