order,kr_filename,kr_url,bytes,role,has_korean_text,kr_text_content,en_filename,en_alt_text,en_text_content,action
1,T50AIR_IG____45.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/T50AIR_IG____45.jpg,142252,gallery,,,,,,
2,T50AIR_WG____45.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/T50AIR_WG____45.jpg,104712,gallery,,,,,,
3,T50AIR_WW____45.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/T50AIR_WW____45.jpg,76356,gallery,,,,,,
4,Img3_311d07fd-09dc-411a-b8e0-e628f395da27.jpg,https://kr.sidiz.com/cdn/shop/files/Img3_311d07fd-09dc-411a-b8e0-e628f395da27.jpg,124428,detail,,,,,,
5,T501_T502_Air_web-1_8cb862be-33f6-4d22-95fe-b2d096dbfc34.png,https://kr.sidiz.com/cdn/shop/files/T501_T502_Air_web-1_8cb862be-33f6-4d22-95fe-b2d096dbfc34.png,2818398,detail,,,,,,
6,T502_T501_Air_web-2_7f730434-1777-4ffb-96a5-e9c69b46fbe2.png,https://kr.sidiz.com/cdn/shop/files/T502_T501_Air_web-2_7f730434-1777-4ffb-96a5-e9c69b46fbe2.png,2413143,detail,,,,,,
7,T50AIR_IG____45.jpg,https://kr.sidiz.com/cdn/shop/files/T50AIR_IG____45.jpg,142252,detail,,,,,,
8,T50AIR_WG____45.jpg,https://kr.sidiz.com/cdn/shop/files/T50AIR_WG____45.jpg,104712,detail,,,,,,
9,T50AIR_WW____45.jpg,https://kr.sidiz.com/cdn/shop/files/T50AIR_WW____45.jpg,76356,detail,,,,,,
10,T50_AIR_IG_1_d2bf3c9d-50dc-4d8f-aece-c2691648339d.png,https://kr.sidiz.com/cdn/shop/files/T50_AIR_IG_1_d2bf3c9d-50dc-4d8f-aece-c2691648339d.png,1853989,detail,,,,,,
11,T50_AIR_IG_2_f2f1d013-56f2-4fe4-a2ba-935349091364.png,https://kr.sidiz.com/cdn/shop/files/T50_AIR_IG_2_f2f1d013-56f2-4fe4-a2ba-935349091364.png,1606216,detail,,,,,,
12,T50_AIR_IG_3_c46e6bbd-ee16-446d-9783-c9730a474217.png,https://kr.sidiz.com/cdn/shop/files/T50_AIR_IG_3_c46e6bbd-ee16-446d-9783-c9730a474217.png,765265,detail,,,,,,
13,T50_AIR_IG_4_489bfcd2-7673-498a-8865-94fe388fb68d.png,https://kr.sidiz.com/cdn/shop/files/T50_AIR_IG_4_489bfcd2-7673-498a-8865-94fe388fb68d.png,1173468,detail,,,,,,
14,T50_AIR_IG_5_b1f1ea86-410d-445a-ac9a-23000f460a71.png,https://kr.sidiz.com/cdn/shop/files/T50_AIR_IG_5_b1f1ea86-410d-445a-ac9a-23000f460a71.png,1453273,detail,,,,,,
15,T50_AIR_WG.jpg,https://kr.sidiz.com/cdn/shop/files/T50_AIR_WG.jpg,65093,detail,,,,,,
16,T50_AIR_WG_03d875d6-83a4-47cd-834a-dde1aa863ebf.jpg,https://kr.sidiz.com/cdn/shop/files/T50_AIR_WG_03d875d6-83a4-47cd-834a-dde1aa863ebf.jpg,159388,detail,,,,,,
17,T50_AIR_WG_3e9fe334-d994-41c5-8e22-85eb4d069b94.jpg,https://kr.sidiz.com/cdn/shop/files/T50_AIR_WG_3e9fe334-d994-41c5-8e22-85eb4d069b94.jpg,120539,detail,,,,,,
18,T50_AIR_WG____45.jpg,https://kr.sidiz.com/cdn/shop/files/T50_AIR_WG____45.jpg,104734,detail,,,,,,
19,T50_AIR_WG____45_80807950-2b2c-4cf4-aa31-133440c58249.jpg,https://kr.sidiz.com/cdn/shop/files/T50_AIR_WG____45_80807950-2b2c-4cf4-aa31-133440c58249.jpg,137090,detail,,,,,,
20,T50_AIR_WW_1_2dcdd207-26dd-4609-89cb-e72947eb58c7.png,https://kr.sidiz.com/cdn/shop/files/T50_AIR_WW_1_2dcdd207-26dd-4609-89cb-e72947eb58c7.png,1095226,detail,,,,,,
