order,kr_filename,kr_url,bytes,role,has_korean_text,kr_text_content,en_filename,en_alt_text,en_text_content,action
1,T60_AIR_LDA_white_00_11292423-f631-4e65-a415-be51aa07ff2c.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/T60_AIR_LDA_white_00_11292423-f631-4e65-a415-be51aa07ff2c.jpg,103973,gallery,,,,,,
2,thum_T60AIR_T61HLDAM0KK_5H1ASG_00_856f31d6-5f1f-4e8f-9345-f7968358e7a6.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_T60AIR_T61HLDAM0KK_5H1ASG_00_856f31d6-5f1f-4e8f-9345-f7968358e7a6.jpg,95064,gallery,,,,,,
3,thum_T60AIR_T61HLDAM0KK_5H1BIG_00_4363dc47-2041-455c-b6e4-e75a93475307.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_T60AIR_T61HLDAM0KK_5H1BIG_00_4363dc47-2041-455c-b6e4-e75a93475307.jpg,84548,gallery,,,,,,
4,thum_T60AIR_T61HLDAM0KK_5H1WW_00_b39feed5-2f70-4013-8858-84d5e725fd18.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_T60AIR_T61HLDAM0KK_5H1WW_00_b39feed5-2f70-4013-8858-84d5e725fd18.jpg,79027,gallery,,,,,,
5,thum_T60AIR_T61HLDAM0KK_5H1WW_00_f1abd3fc-d524-4247-b8f3-2bf961d92b07.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_T60AIR_T61HLDAM0KK_5H1WW_00_f1abd3fc-d524-4247-b8f3-2bf961d92b07.jpg,77027,gallery,,,,,,
6,1_2948692c-e306-4ebe-98d8-6b52efc5c382.jpg,https://kr.sidiz.com/cdn/shop/files/1_2948692c-e306-4ebe-98d8-6b52efc5c382.jpg,342348,detail,,,,,,
7,2_6a385863-a7a4-4b81-a4ed-d6bd154802f5.jpg,https://kr.sidiz.com/cdn/shop/files/2_6a385863-a7a4-4b81-a4ed-d6bd154802f5.jpg,305236,detail,,,,,,
8,Img2_f746652c-719b-4616-9a41-6d5f36fc68e0.jpg,https://kr.sidiz.com/cdn/shop/files/Img2_f746652c-719b-4616-9a41-6d5f36fc68e0.jpg,113162,detail,,,,,,
9,Img3_be636555-44a5-4b22-ac7d-18eea6b0bf79.jpg,https://kr.sidiz.com/cdn/shop/files/Img3_be636555-44a5-4b22-ac7d-18eea6b0bf79.jpg,124428,detail,,,,,,
10,T60_AIR_01_08b654bd-c702-4ce4-849e-1c6f2af33504.jpg,https://kr.sidiz.com/cdn/shop/files/T60_AIR_01_08b654bd-c702-4ce4-849e-1c6f2af33504.jpg,55387,detail,,,,,,
