order,kr_filename,kr_url,bytes,role,has_korean_text,kr_text_content,en_filename,en_alt_text,en_text_content,action
1,thum_THE_PROGRESSIVE_BAG_01.jpg,https://cdn.shopify.com/s/files/1/0865/4408/9378/files/thum_THE_PROGRESSIVE_BAG_01.jpg,107939,gallery,,,,,,
2,Head_15060548-648e-41fc-9d8c-9e731b761934.jpg,https://kr.sidiz.com/cdn/shop/files/Head_15060548-648e-41fc-9d8c-9e731b761934.jpg,569303,detail,,,,,,
3,Head_M_ed367a6d-ccdf-40bf-af35-6305df458796.jpg,https://kr.sidiz.com/cdn/shop/files/Head_M_ed367a6d-ccdf-40bf-af35-6305df458796.jpg,489082,detail,,,,,,
4,Img2_224db752-528e-471d-af82-a4689438021a.jpg,https://kr.sidiz.com/cdn/shop/files/Img2_224db752-528e-471d-af82-a4689438021a.jpg,119983,detail,,,,,,
5,Img3_d73536dc-ee81-4817-a01e-7b37c1edf5e7.jpg,https://kr.sidiz.com/cdn/shop/files/Img3_d73536dc-ee81-4817-a01e-7b37c1edf5e7.jpg,194810,detail,,,,,,
6,Img_6a267143-484a-4a41-af56-73ad0e59b7a6.jpg,https://kr.sidiz.com/cdn/shop/files/Img_6a267143-484a-4a41-af56-73ad0e59b7a6.jpg,158892,detail,,,,,,
7,Img_8f360215-1535-4f13-9d2b-6ba0e76bda44.jpg,https://kr.sidiz.com/cdn/shop/files/Img_8f360215-1535-4f13-9d2b-6ba0e76bda44.jpg,109866,detail,,,,,,
8,0084afd6a7ab49fc973de9e37f9da8f8.thumbnail.0000000000.jpg,https://kr.sidiz.com/cdn/shop/files/preview_images/0084afd6a7ab49fc973de9e37f9da8f8.thumbnail.0000000000.jpg,104506,detail,,,,,,
9,sidiz_dimension_THE_PROGRESSIVE_BAG.jpg,https://kr.sidiz.com/cdn/shop/files/sidiz_dimension_THE_PROGRESSIVE_BAG.jpg,18086,detail,,,,,,
10,thum_FABRIC_SPRAY_INFINITY__01.jpg,https://kr.sidiz.com/cdn/shop/files/thum_FABRIC_SPRAY_INFINITY__01.jpg,39162,detail,,,,,,
11,thum_THE_PROGRESSIVE_BAG_01.jpg,https://kr.sidiz.com/cdn/shop/files/thum_THE_PROGRESSIVE_BAG_01.jpg,107939,detail,,,,,,
12,thum_THE_PROGRESSIVE_BAG_02.jpg,https://kr.sidiz.com/cdn/shop/files/thum_THE_PROGRESSIVE_BAG_02.jpg,142661,detail,,,,,,
13,thum_THE_PROGRESSIVE_BAG_03.jpg,https://kr.sidiz.com/cdn/shop/files/thum_THE_PROGRESSIVE_BAG_03.jpg,221624,detail,,,,,,
14,unnamed.jpg,https://kr.sidiz.com/cdn/shop/files/unnamed.jpg,87444,detail,,,,,,
15,0084afd6a7ab49fc973de9e37f9da8f8.HD-1080p-7.2Mbps-58544034.mp4,https://kr.sidiz.com/cdn/shop/videos/c/vp/0084afd6a7ab49fc973de9e37f9da8f8/0084afd6a7ab49fc973de9e37f9da8f8.HD-1080p-7.2Mbps-58544034.mp4,23954091,detail,,,,,,
